Timestamp,wind_speed (m s-1),wind_dir (deg),(z-d)/L (-),Fc (µmol m-2 s-1),FcEP (µmol m-2 s-1),FCcorL (µmol m-2 s-1),FCcorG (µmol m-2 s-1),CF_L (-),CF_G (-)
2024-05-02 23:00:00,2.92744,257.609,-0.00134009,2.69676,3.13249,2.9949999636427354,2.9328234018525796,1.110591956140975,1.0875359326942626
2024-05-02 23:30:00,3.37899,255.715,0.00148736,3.24426,3.88724,3.699738080645013,3.608619339328612,1.1403950610139177,1.1123089207796575
2024-05-03 00:00:00,3.19247,255.783,0.00122227,3.24125,3.86757,3.6963054915113607,3.6052712894770647,1.1403950610139177,1.1123089207796575
2024-05-03 00:30:00,3.91529,253.41,0.00274186,3.16215,3.8371,3.60610024218516,3.517287653843394,1.1403950610139177,1.1123089207796575
2024-05-03 01:00:00,4.06077,253.641,0.00087235,2.74975,3.34215,3.1358013190230203,3.058571454913863,1.1403950610139177,1.1123089207796575
2024-05-03 01:30:00,4.28694,252.883,-0.00342658,2.66558,3.16358,3.0118201498667374,2.9374491057306518,1.1298929875924706,1.101992476583202
2024-05-03 02:00:00,4.34614,247.687,0.00402257,3.14902,3.86194,3.5911268550340476,3.5026830377135574,1.1403950610139177,1.1123089207796575
2024-05-03 02:30:00,4.36405,246.665,0.00377475,3.21526,3.94389,3.6666666238756087,3.5763623806260014,1.1403950610139177,1.1123089207796575
2024-05-03 03:00:00,4.22846,244.964,-0.000977679,2.70222,3.20413,3.053219428932126,2.9778261100726606,1.1298929875924706,1.101992476583202
2024-05-03 03:30:00,4.5074,246.14,0.00281914,3.30074,4.05831,3.7641475936910784,3.6714425471742462,1.1403950610139177,1.1123089207796575
2024-05-03 04:00:00,4.37804,246.859,-0.00514843,3.4026,4.04405,3.8445738795821405,3.7496396008220034,1.1298929875924706,1.101992476583202
2024-05-03 04:30:00,4.29527,249.2,0.00284913,3.2998,4.03828,3.7630756223337256,3.6703969767887137,1.1403950610139177,1.1123089207796575
2024-05-03 05:00:00,4.64912,256.992,0.000281848,3.42637,4.21663,3.907415425206257,3.811181916891795,1.1403950610139177,1.1123089207796575
2024-05-03 05:30:00,3.86412,247.923,0.00402845,2.47487,3.00297,2.8223295246515145,2.752819978769951,1.1403950610139177,1.1123089207796575
2024-05-03 06:00:00,4.35937,240.487,0.00317858,2.96491,3.63441,3.381168720350775,3.2978958423088143,1.1403950610139177,1.1123089207796575
2024-05-03 06:30:00,4.38408,236.407,0.00465648,2.17965,2.67661,2.485662094738986,2.4244441391773806,1.1403950610139177,1.1123089207796575
2024-05-03 07:00:00,4.29048,232.91,0.00340659,1.57884,1.9327,1.8005013381312138,1.7561578164837544,1.1403950610139177,1.1123089207796575
2024-05-03 07:30:00,3.57356,235.531,0.00523286,0.804761,0.97113,0.9177454696966214,0.8951428393955578,1.1403950610139177,1.1123089207796575
2024-05-03 08:00:00,4.08533,234.792,0.00183251,-1.43763,-1.74963,-1.6394661515654385,-1.599088673780459,1.1403950610139177,1.1123089207796575
2024-05-03 08:30:00,4.28143,232.519,0.00298662,-3.11078,-3.80603,-3.5475181479008753,-3.460148344582943,1.1403950610139177,1.1123089207796575
2024-05-03 09:00:00,4.19692,230.248,7.38944e-05,-8.25659,-9.78533,-9.415774456816902,-9.18387871222011,1.1403950610139177,1.1123089207796575
2024-05-03 09:30:00,4.5427,228.561,0.00295228,-8.48491,-10.4412,-9.6761494571476,-9.437841085012522,1.1403950610139177,1.1123089207796575
2024-05-03 10:00:00,4.50196,233.521,0.00285309,-8.35543,-10.2718,-9.528491104647518,-9.293819325949974,1.1403950610139177,1.1123089207796575
2024-05-03 10:30:00,4.3588,233.308,0.0152135,-15.7118,-19.4542,-17.917659119638472,-17.476375301505822,1.1403950610139177,1.1123089207796575
2024-05-03 11:00:00,4.48014,234.52,0.000920078,-11.6867,-14.3343,-13.327454959551353,-12.999220664475624,1.1403950610139177,1.1123089207796575
2024-05-03 11:30:00,4.42628,237.199,-0.000308582,-12.3767,-14.721,-13.98434653953573,-13.639030284927317,1.1298929875924706,1.101992476583202
2024-05-03 12:00:00,4.71299,232.941,-0.00824483,-28.0727,-33.5387,-31.71914687278715,-30.93590419737726,1.1298929875924706,1.101992476583202
2024-05-03 12:30:00,5.05438,231.505,7.95036e-05,-23.0134,-27.6382,-26.244367697137694,-25.59801011747057,1.1403950610139177,1.1123089207796575
2024-05-03 13:00:00,4.81179,231.462,-0.0097629,-33.1987,-39.7231,-37.51097832718616,-36.58471763234275,1.1298929875924706,1.101992476583202
2024-05-03 13:30:00,5.14563,233.529,-0.0102357,-29.4339,-35.398,-33.25715720749802,-32.43593635650231,1.1298929875924706,1.101992476583202
2024-05-03 14:00:00,4.83695,238.176,-0.0105081,-31.6075,-37.8338,-35.71309260532902,-34.83122720360356,1.1298929875924706,1.101992476583202
2024-05-03 14:30:00,4.56947,238.556,-0.012167,-29.1709,-34.7735,-32.9599953517612,-32.14611233516093,1.1298929875924706,1.101992476583202
2024-05-03 15:00:00,4.65468,234.08,-0.00784504,-27.0844,-32.3289,-30.602473633149508,-29.846805032770078,1.1298929875924706,1.101992476583202
2024-05-03 15:30:00,4.20659,238.533,-0.00802776,-24.9691,-29.5968,-28.21241099649516,-27.515760347053632,1.1298929875924706,1.101992476583202
2024-05-03 16:00:00,4.14745,235.254,-0.00597922,-24.9609,-29.5595,-28.2031458739969,-27.506724008745646,1.1298929875924706,1.101992476583202
2024-05-03 16:30:00,3.87627,235.697,0.00269503,-19.7673,-23.9275,-22.542531289580413,-21.98734412972772,1.1403950610139177,1.1123089207796575
2024-05-03 17:00:00,3.35909,235.112,0.00222234,-16.6881,-19.5174,-19.03102681770636,-18.562322500863,1.1403950610139177,1.1123089207796575
2024-05-03 17:30:00,2.95321,235.048,-0.0098906,-15.3139,-17.7955,-17.007494157147278,-16.65441651968667,1.110591956140975,1.0875359326942626
2024-05-03 18:00:00,3.14041,238.341,-0.000233727,-14.9652,-17.4418,-16.90907453791884,-16.491537810562935,1.1298929875924706,1.101992476583202
2024-05-03 18:30:00,2.86604,223.255,0.0380506,-6.27722,-7.62263,-7.083245034511098,-6.902268572488684,1.1284047770368248,1.0995741064497795
2024-05-03 19:00:00,2.17731,227.459,0.0456615,-5.23411,-6.2845,-5.856013481677242,-5.715323887486378,1.118817426778811,1.0919380539358894
2024-05-03 19:30:00,1.26414,217.341,0.375883,-1.45284,-1.98257,-1.6060460878036262,-1.5678523809127949,1.105452828806769,1.079163831469945
2024-05-03 20:00:00,1.30579,195.61,1.51376,-0.475298,-0.886857,-0.5254195186261997,-0.512924410770002,1.105452828806769,1.079163831469945
2024-05-03 20:30:00,1.18492,192.571,3.73946,0.513109,1.35428,0.5641846918548867,0.5499547038110537,1.0995416019888302,1.0718087264325
2024-05-03 21:00:00,1.20682,174.715,13.3538,1.10274,5.51976,1.2190270524383766,1.1900371235151672,1.105452828806769,1.079163831469945
2024-05-03 21:30:00,1.31688,170.909,1.58382,1.2833,2.45158,1.4186276152077268,1.3848909449253806,1.105452828806769,1.079163831469945
2024-05-03 22:00:00,1.51512,175.416,1.03433,1.90742,3.24345,2.131789722434669,2.073974935444664,1.117629951680631,1.0873194867646687
2024-05-03 22:30:00,1.44028,169.494,0.912844,2.40929,3.95323,2.6926946662846274,2.6196679662672486,1.117629951680631,1.0873194867646687
2024-05-03 23:00:00,1.78501,178.3,0.221437,2.75622,3.6044,3.088622636018222,3.0057020430830397,1.1206009084972253,1.090516012177199
2024-05-03 23:30:00,1.74954,180.32,0.269323,2.69208,3.59392,3.01674729374721,2.9357563460619938,1.1206009084972253,1.090516012177199
2024-05-04 00:00:00,1.61918,187.668,0.410308,2.37083,3.33906,2.656754251892477,2.5854280771500693,1.1206009084972253,1.090516012177199
2024-05-04 00:30:00,1.32381,172.412,1.38216,2.02008,3.70834,2.233103150415978,2.1799972726758066,1.105452828806769,1.079163831469945
2024-05-04 01:00:00,1.16513,165.691,2.69988,1.87532,4.33949,2.061992357041693,2.009984340853396,1.0995416019888302,1.0718087264325
2024-05-04 01:30:00,1.3812,163.309,0.315145,2.16252,2.91431,2.3905638513512146,2.3337133688303857,1.105452828806769,1.079163831469945
2024-05-04 02:00:00,1.47713,172.545,0.270848,2.31022,3.06507,2.5819710669716276,2.5119472247134733,1.117629951680631,1.0873194867646687
2024-05-04 02:30:00,1.4717,159.93,0.340559,1.41285,1.92762,1.5790434772319795,1.5362193368754622,1.117629951680631,1.0873194867646687
2024-05-04 03:00:00,2.08962,168.916,0.0617901,2.67702,3.24827,3.0125363120469197,2.934688774699101,1.1253320154675421,1.0962520917658818
2024-05-04 03:30:00,2.01075,171.037,0.0875206,2.78711,3.42673,3.1364241136297415,3.055375167481607,1.1253320154675421,1.0962520917658818
2024-05-04 04:00:00,1.68264,163.202,0.0926559,2.90754,3.55855,3.2581919654920224,3.1707189260456934,1.1206009084972253,1.090516012177199
2024-05-04 04:30:00,2.05197,170.057,0.0475291,2.51011,3.01596,2.8247071453452324,2.7517133380624577,1.1253320154675421,1.0962520917658818
2024-05-04 05:00:00,1.93212,173.217,0.0491957,2.93618,3.52283,3.3041773571754876,3.2187934668011464,1.1253320154675421,1.0962520917658818
2024-05-04 05:30:00,1.74729,174.893,0.0460356,1.95184,2.32852,2.187233677241224,2.128512773207944,1.1206009084972253,1.090516012177199
2024-05-04 06:00:00,1.4259,157.876,0.065436,0.526406,0.631,0.5883271123443943,0.5723715017498422,1.117629951680631,1.0873194867646687
2024-05-04 06:30:00,1.71398,151.626,0.0148515,-2.39052,-2.79499,-2.678818883780787,-2.606900337429838,1.1206009084972253,1.090516012177199
2024-05-04 07:00:00,1.99636,155.752,0.0192127,-5.6823,-6.69536,-6.394474111491214,-6.229233261041269,1.1253320154675421,1.0962520917658818
2024-05-04 07:30:00,2.08919,143.302,-0.00507122,-11.0373,-12.658,-12.080084801611434,-11.846019684047281,1.094478251167535,1.0732715142333071
2024-05-04 08:00:00,1.85369,145.249,-0.0158995,-13.3929,-15.3087,-14.62551403455474,-14.351092727420077,1.0920348867351164,1.0715448280372495
2024-05-04 08:30:00,2.83128,153.244,-0.0130546,-22.0129,-25.5311,-24.447349671335665,-23.93981973280553,1.110591956140975,1.0875359326942626
2024-05-04 09:00:00,3.06387,157.156,-0.00840007,-19.3914,-22.5731,-21.5359328583121,-21.088844285247525,1.110591956140975,1.0875359326942626
2024-05-04 09:30:00,2.53102,162.475,-0.0216818,-24.2844,-28.0346,-26.73092277253682,-26.209022272919587,1.1007446250488717,1.079253441424107
2024-05-04 10:00:00,2.96847,164.118,-0.0216155,-30.4837,-35.432,-33.85495201341464,-33.15211911147209,1.110591956140975,1.0875359326942626
2024-05-04 10:30:00,2.97268,173.606,-0.0339447,-31.4903,-36.6044,-34.972873876466146,-34.24683278132214,1.110591956140975,1.0875359326942626
2024-05-04 11:00:00,3.45135,184.452,-0.0134538,-27.9929,-32.7868,-31.628981412377268,-30.847965197745918,1.1298929875924706,1.101992476583202
2024-05-04 11:30:00,3.09243,197.189,-0.0198242,-24.3633,-28.3736,-27.057685005049414,-26.495964189010127,1.110591956140975,1.0875359326942626
2024-05-04 12:00:00,2.87334,218.786,-0.00334742,-21.6504,-25.1272,-24.044760087234565,-23.545587957203864,1.110591956140975,1.0875359326942626
